Time	Actual	Regression Fit
28.6	24	24.15613841
28.65	27	22.51189192
28.7	26	20.86357914
28.75	25	19.2111688
28.8	21	17.55462959
28.85	20	15.89393024
28.9	19	14.22903944
28.95	17	12.55992592
29	16	10.88655839
29.05	16	9.208905543
29.1	14	7.526936104
29.15	11	5.840618781
29.2	8	4.149922283
29.25	7	2.454815322
29.3	5	0.755266609
29.35	7	-0.9487551462
29.4	5	-2.657281233
29.45	5	-4.370342939
29.5	3	-6.087971556
29.55	2	-7.810198371
29.6	7	-9.537054675
